編碼,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
2-76,冤仇（仇恨）,bbienˇ shiuˋ (shiuˋ hin),仇恨,這兩對頭冤仇真深。,這兩個對手仇恨很深。,,名詞,,2心理活動與感覺
2-77,隨意,suiˋ rhi^ ,隨意,請隨意挾菜食，毋使細義。,請隨意挾菜吃，不用客氣。,,形容詞,,2心理活動與感覺
2-78,體會,te^ fui ,體會,子女愛體會爺哀个辛苦。,子女要體會父母的辛苦。,,動詞,,2心理活動與感覺
2-79,艱難,ganˇ nanˋ ,痛苦,離別个時務實在艱難。,離別的時候真是痛苦。,,形容詞,,2心理活動與感覺
2-80,同情,tungˋ cinˋ ,同情,大家攏真同情佢。,大家都很同情他。,,動詞,,2心理活動與感覺
2-81,委屈,bbui^ kudˊ ,委屈,無緣無故得人罵，心肝底感覺真委屈。,無緣無故被人罵，心裡感到很委屈。,,形容詞,,2心理活動與感覺
2-82,無心色,moˋ simˇ sedˊ ,無聊,在屋下無事做真無心色,在家裡沒事做很無聊,,形容詞,,2心理活動與感覺
2-83,慍悴,bbidˊ zudˊ ,鬱悶,心情慍悴,心情鬱悶,,形容詞,,2心理活動與感覺
2-84,心情,simˇ cinˋ ,心情,心情毋好,心情不好,,名詞,,2心理活動與感覺
2-85,心意,simˇ rhi^ ,心意,你个心意阿怙收着啊。,你的心意爸爸收到了。,,名詞,,2心理活動與感覺
2-86,心理,simˇ li^ ,心理,佢這站準備考試，心理壓力真大。,他最近準備考試，心理壓力很大。,,名詞,,2心理活動與感覺
2-87,滿足,man^ ziuˊ ,滿足,食肚毋會餓着，佢即真滿足啊。,肚子不會餓到，他就很滿足了。,,形容詞,,2心理活動與感覺
2-88,性地,sin^ ti,脾氣,阿叔个性地像阿媽。,叔叔的脾氣像祖母。,,名詞,,2心理活動與感覺
2-89,想法,siong fadˊ ,想法,佢真有自家个想法。,他很有自己的想法。,,名詞,,2心理活動與感覺
2-90,想像,siong siong ,想像,佢想像未來這地方會變真多。,他想像未來這地方會變很多。,,動詞,,2心理活動與感覺
2-91,真心,zhinˇ simˇ ,真心,對待朋友，愛用真心。,對待朋友，要用真心。,,形容詞,,2心理活動與感覺
2-92,掌管,zhong^ guan^ ,掌握、管理,教育部掌管全國教育行政。,教育部掌管全國教育行政。,,動詞,,2心理活動與感覺
2-93,注意,zhi^ rhi^ ,留意、小心,出門在外自家愛注意。,出門在外自己要小心。,,動詞,,2心理活動與感覺
2-94,尊敬,zunˇ gin^ ,尊敬,這個先生真受學生尊敬,這位老師很受學生尊敬,,動詞,,2心理活動與感覺
3-1,本人,bun^ nginˋ ,本人,遐件事問佢本人較緊,那件事問他本人比較快,,名詞,,3代詞
3-2,對方,doi^ fongˇ ,對方,做毋著即愛拁對方會失禮,做錯就要跟對方道歉,,代詞,,3代詞
3-3,遐樣,gaˊ rhiong,那種,遐樣物件無人想討買。,那種東西沒人想要買。,,代詞,,3代詞
3-4,佢人,guiˋ nginˋ ,他們,佢人真慶，出國比賽著第一！,他們很厲害，出國比賽得第一！,,代詞,,3代詞
3-5,各人,gooˊ nginˋ ,各自、各人,大家各人做各人个事。,大家各做各的事。,,代詞,,3代詞
3-6,某人,hmˇ nginˋ ,某人,這案和某人有關係。,這案件和某人有關係。,,代詞,,3代詞
3-7,你人,henˋ nginˋ ,你們,你人等下討去哪位？,你們等一下要去哪裡？,,代詞,,3代詞
3-8,𠊎人,ngaiˋ nginˋ ,我們（不含受話者）,𠊎人無像你恁見笑。,我們不像你那麼丟臉。,,代詞,,3代詞
